min_pass,calmar_min,ranging_gate,eval_window,max_weight,ann_return,max_dd,sharpe,calmar,avg_invested,n_cash_rebal,n_rebal
1,1.5,1.0,63,1.0,0.1336,-0.107,1.141,1.249,0.573,7,75
1,1.3,1.0,63,1.0,0.1332,-0.107,1.138,1.246,0.573,7,75
1,1.5,1.0,63,0.8,0.1224,-0.1037,1.127,1.179,0.538,7,75
1,1.3,1.0,63,0.8,0.1218,-0.1037,1.122,1.174,0.541,7,75
1,1.5,1.0,63,0.65,0.1143,-0.1015,1.11,1.126,0.507,7,75
1,1.3,1.0,63,0.65,0.1135,-0.1015,1.103,1.119,0.511,7,75
1,1.5,0.8,63,1.0,0.1127,-0.0941,1.128,1.197,0.483,7,75
1,1.3,0.8,63,1.0,0.1124,-0.0941,1.126,1.194,0.483,7,75
1,0.8,1.0,63,1.0,0.111,-0.1163,0.991,0.955,0.573,6,75
1,1.0,1.0,63,1.0,0.1102,-0.1163,0.984,0.948,0.573,7,75
1,0.8,1.0,63,0.8,0.1092,-0.1163,1.023,0.939,0.557,6,75
1,1.0,1.0,63,0.8,0.1081,-0.1163,1.015,0.93,0.554,7,75
1,0.8,1.0,63,0.65,0.1078,-0.1162,1.046,0.928,0.538,6,75
1,1.0,1.0,63,0.65,0.1065,-0.1162,1.036,0.916,0.534,7,75
1,1.5,1.0,63,0.5,0.1034,-0.0992,1.081,1.043,0.465,7,75
1,1.5,0.8,63,0.8,0.1033,-0.0847,1.108,1.22,0.453,7,75
1,1.3,0.8,63,0.8,0.1029,-0.0847,1.103,1.214,0.456,7,75
1,1.3,1.0,63,0.5,0.1027,-0.0992,1.072,1.035,0.47,7,75
1,0.8,1.0,63,0.5,0.1023,-0.116,1.053,0.882,0.501,6,75
1,1.0,1.0,63,0.5,0.1003,-0.116,1.037,0.865,0.497,7,75
2,0.8,1.0,63,0.65,0.0998,-0.1162,1.036,0.859,0.486,23,75
2,0.8,1.0,63,0.8,0.0996,-0.1163,1.03,0.857,0.493,23,75
2,0.8,1.0,63,1.0,0.0994,-0.1163,1.028,0.855,0.493,23,75
2,1.0,1.0,63,0.65,0.0974,-0.1162,1.017,0.838,0.474,25,75
2,1.0,1.0,63,0.8,0.0971,-0.1163,1.011,0.835,0.479,25,75
2,1.0,1.0,63,1.0,0.0969,-0.1163,1.008,0.833,0.48,25,75
1,1.5,0.8,63,0.65,0.0966,-0.082,1.087,1.179,0.428,7,75
1,1.3,0.8,63,0.65,0.096,-0.082,1.08,1.171,0.431,7,75
2,0.8,1.0,63,0.5,0.096,-0.116,1.033,0.828,0.461,23,75
1,0.8,0.8,63,1.0,0.0933,-0.0971,0.974,0.961,0.483,6,75
2,1.0,1.0,63,0.5,0.0932,-0.116,1.008,0.803,0.45,25,75
1,1.0,0.8,63,1.0,0.0927,-0.0971,0.967,0.955,0.483,7,75
1,0.8,0.8,63,0.8,0.0917,-0.0971,0.999,0.945,0.469,6,75
1,1.0,0.8,63,0.8,0.0908,-0.0971,0.991,0.935,0.467,7,75
1,0.8,0.8,63,0.65,0.0905,-0.097,1.016,0.932,0.453,6,75
1,1.0,0.8,63,0.65,0.0894,-0.097,1.006,0.922,0.45,7,75
1,1.5,0.8,63,0.5,0.0878,-0.0796,1.058,1.102,0.392,7,75
1,1.3,0.8,63,0.5,0.0872,-0.0796,1.05,1.095,0.396,7,75
1,0.8,0.8,63,0.5,0.0858,-0.0968,1.021,0.887,0.423,6,75
1,1.0,0.8,63,0.5,0.0843,-0.0968,1.006,0.871,0.419,7,75
2,0.8,0.8,63,0.65,0.0839,-0.097,0.998,0.865,0.41,23,75
2,0.8,0.8,63,0.8,0.0838,-0.0971,0.994,0.864,0.416,23,75
2,0.8,0.8,63,1.0,0.0837,-0.0971,0.992,0.862,0.416,23,75
2,1.0,0.8,63,0.65,0.082,-0.097,0.98,0.845,0.4,25,75
2,1.0,0.8,63,0.8,0.0818,-0.0971,0.975,0.842,0.405,25,75
2,1.0,0.8,63,1.0,0.0816,-0.0971,0.973,0.841,0.405,25,75
1,0.8,1.0,42,1.0,0.0812,-0.1327,0.693,0.612,0.579,6,76
2,0.8,0.8,63,0.5,0.0807,-0.0968,0.997,0.834,0.389,23,75
1,0.8,1.0,42,0.8,0.0803,-0.1277,0.721,0.629,0.56,6,76
2,1.0,0.8,63,0.5,0.0785,-0.0968,0.974,0.811,0.38,25,75
1,0.8,1.0,42,0.65,0.0774,-0.1277,0.723,0.606,0.54,6,76
2,1.5,1.0,63,0.65,0.0759,-0.1392,0.83,0.545,0.394,32,75
2,1.5,1.0,63,0.8,0.0753,-0.1417,0.822,0.532,0.399,32,75
1,0.8,1.0,42,0.5,0.0752,-0.1277,0.729,0.589,0.511,6,76
2,1.5,1.0,63,1.0,0.0752,-0.1426,0.819,0.527,0.4,32,75
2,1.3,1.0,63,0.65,0.0745,-0.1459,0.813,0.51,0.407,31,75
2,0.8,1.0,42,0.8,0.0743,-0.1277,0.74,0.582,0.486,25,76
2,0.8,1.0,42,1.0,0.0741,-0.1277,0.737,0.581,0.487,25,76
2,1.3,1.0,63,0.8,0.0739,-0.1484,0.805,0.498,0.413,31,75
2,1.5,1.0,63,0.5,0.0738,-0.132,0.834,0.559,0.378,32,75
2,1.3,1.0,63,1.0,0.0737,-0.1493,0.802,0.494,0.413,31,75
1,1.0,1.0,42,0.8,0.0726,-0.1334,0.655,0.544,0.549,7,76
1,1.3,1.0,42,0.8,0.0726,-0.1334,0.655,0.544,0.549,8,76
1,1.5,1.0,42,0.8,0.0726,-0.1334,0.655,0.544,0.549,8,76
2,1.3,1.0,63,0.5,0.0725,-0.138,0.818,0.526,0.39,31,75
2,0.8,1.0,42,0.65,0.0724,-0.1277,0.726,0.567,0.48,25,76
1,1.0,1.0,42,1.0,0.0723,-0.1334,0.625,0.542,0.566,7,76
1,1.3,1.0,42,1.0,0.0723,-0.1334,0.625,0.542,0.566,8,76
1,1.5,1.0,42,1.0,0.0723,-0.1334,0.625,0.542,0.566,8,76
2,1.0,1.0,42,0.8,0.0716,-0.1334,0.706,0.537,0.486,25,76
2,1.3,1.0,42,0.8,0.0716,-0.1334,0.706,0.537,0.486,25,76
2,1.5,1.0,42,0.8,0.0716,-0.1334,0.706,0.537,0.486,25,76
2,1.0,1.0,42,1.0,0.0714,-0.1334,0.703,0.535,0.487,25,76
2,1.3,1.0,42,1.0,0.0714,-0.1334,0.703,0.535,0.487,25,76
2,1.5,1.0,42,1.0,0.0714,-0.1334,0.703,0.535,0.487,25,76
2,0.8,1.0,42,0.5,0.0711,-0.1277,0.721,0.557,0.465,25,76
1,1.0,1.0,42,0.65,0.0706,-0.1334,0.66,0.53,0.531,7,76
1,1.3,1.0,42,0.65,0.0706,-0.1334,0.66,0.53,0.531,8,76
1,1.5,1.0,42,0.65,0.0706,-0.1334,0.66,0.53,0.531,8,76
2,1.0,1.0,42,0.65,0.0696,-0.1334,0.692,0.522,0.48,25,76
2,1.3,1.0,42,0.65,0.0696,-0.1334,0.692,0.522,0.48,25,76
2,1.5,1.0,42,0.65,0.0696,-0.1334,0.692,0.522,0.48,25,76
1,1.0,1.0,42,0.5,0.0693,-0.1292,0.67,0.537,0.504,7,76
1,1.3,1.0,42,0.5,0.0693,-0.1292,0.67,0.537,0.504,8,76
1,1.5,1.0,42,0.5,0.0693,-0.1292,0.67,0.537,0.504,8,76
1,0.8,0.8,42,1.0,0.0692,-0.1277,0.672,0.542,0.489,6,76
2,1.0,1.0,42,0.5,0.0684,-0.1292,0.687,0.53,0.465,25,76
2,1.3,1.0,42,0.5,0.0684,-0.1292,0.687,0.53,0.465,25,76
2,1.5,1.0,42,0.5,0.0684,-0.1292,0.687,0.53,0.465,25,76
1,0.8,0.8,42,0.8,0.0682,-0.1277,0.692,0.534,0.473,6,76
1,0.8,0.8,42,0.65,0.0656,-0.1277,0.689,0.514,0.456,6,76
2,1.5,0.8,63,0.65,0.0649,-0.1163,0.81,0.557,0.334,32,75
2,1.5,0.8,63,0.8,0.0644,-0.1184,0.803,0.544,0.338,32,75
2,1.5,0.8,63,1.0,0.0643,-0.1192,0.801,0.539,0.339,32,75
1,0.8,0.8,42,0.5,0.0638,-0.1277,0.693,0.5,0.432,6,76
2,1.3,0.8,63,0.65,0.0637,-0.1219,0.795,0.523,0.345,31,75
2,1.5,0.8,63,0.5,0.0633,-0.1094,0.817,0.578,0.32,32,75
2,1.3,0.8,63,0.8,0.0633,-0.1239,0.788,0.511,0.349,31,75
2,1.3,0.8,63,1.0,0.0631,-0.1247,0.786,0.506,0.349,31,75
2,1.3,0.8,63,0.5,0.0623,-0.1143,0.803,0.545,0.33,31,75
2,0.8,0.8,42,0.8,0.0622,-0.1277,0.691,0.487,0.41,25,76
2,0.8,0.8,42,1.0,0.062,-0.1277,0.689,0.486,0.411,25,76
1,1.0,0.8,42,0.8,0.0611,-0.1277,0.627,0.479,0.463,7,76
1,1.3,0.8,42,0.8,0.0611,-0.1277,0.627,0.479,0.463,8,76
1,1.5,0.8,42,0.8,0.0611,-0.1277,0.627,0.479,0.463,8,76
1,1.0,0.8,42,1.0,0.061,-0.1277,0.603,0.478,0.476,7,76
1,1.3,0.8,42,1.0,0.061,-0.1277,0.603,0.478,0.476,8,76
1,1.5,0.8,42,1.0,0.061,-0.1277,0.603,0.478,0.476,8,76
2,0.8,0.8,42,0.65,0.0606,-0.1277,0.677,0.475,0.405,25,76
2,1.0,0.8,42,0.8,0.06,-0.1277,0.661,0.47,0.41,25,76
2,1.3,0.8,42,0.8,0.06,-0.1277,0.661,0.47,0.41,25,76
2,1.5,0.8,42,0.8,0.06,-0.1277,0.661,0.47,0.41,25,76
2,1.0,0.8,42,1.0,0.0599,-0.1277,0.66,0.469,0.411,25,76
2,1.3,0.8,42,1.0,0.0599,-0.1277,0.66,0.469,0.411,25,76
2,1.5,0.8,42,1.0,0.0599,-0.1277,0.66,0.469,0.411,25,76
2,0.8,0.8,42,0.5,0.0598,-0.1277,0.675,0.469,0.392,25,76
1,1.0,0.8,42,0.65,0.0595,-0.1277,0.628,0.466,0.448,7,76
1,1.3,0.8,42,0.65,0.0595,-0.1277,0.628,0.466,0.448,8,76
1,1.5,0.8,42,0.65,0.0595,-0.1277,0.628,0.466,0.448,8,76
1,1.0,0.8,42,0.5,0.0586,-0.1277,0.636,0.459,0.425,7,76
1,1.3,0.8,42,0.5,0.0586,-0.1277,0.636,0.459,0.425,8,76
1,1.5,0.8,42,0.5,0.0586,-0.1277,0.636,0.459,0.425,8,76
2,1.0,0.8,42,0.65,0.0585,-0.1277,0.648,0.458,0.405,25,76
2,1.3,0.8,42,0.65,0.0585,-0.1277,0.648,0.458,0.405,25,76
2,1.5,0.8,42,0.65,0.0585,-0.1277,0.648,0.458,0.405,25,76
2,1.0,0.8,42,0.5,0.0577,-0.1277,0.646,0.452,0.392,25,76
2,1.3,0.8,42,0.5,0.0577,-0.1277,0.646,0.452,0.392,25,76
2,1.5,0.8,42,0.5,0.0577,-0.1277,0.646,0.452,0.392,25,76
